Район,Тип,Дата и время  пожара 
Бардымский МО ,Аварии на электроэнергетических системах ,2015-03-06 16:00:00
Верещагинский ГО,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-03-06 18:25:00
Кочевский МО ,Аварии на электроэнергетических системах ,2015-03-06 21:48:00
ГО город Кизел ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-03-07 12:15:00
Сивинский МО,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-03-07 19:06:00
Кочевский МО ,Аварии на электроэнергетических системах ,2015-03-09 12:30:00
Красновишерский ГО ,Аварии на электроэнергетических системах ,2015-03-09 20:17:00
Гайнский МО,Аварии на электроэнергетических системах ,2015-03-09 21:45:00
Соликамский ГО ,Аварии на электроэнергетических системах ,2015-03-10 04:22:00
Очерский ГО ,Аварии на электроэнергетических системах ,2015-03-10 08:08:00
Чернушинский ГО ,Аварии на электроэнергетических системах ,2015-03-10 10:40:00
Оханский ГО ,Аварии на электроэнергетических системах ,2015-03-10 10:43:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения Газоснабжение,2015-03-10 13:56:00
Кишертский МО,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-03-11 09:00:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-03-11 10:30:00
Карагайский МО ,"Пожары на социально-значимых объектах (образования, культуры, здравоохранения и др.) ",2015-03-11 21:45:00
Чайковский ГО ,Пожар с гибелью 2-х и более человек ,2015-03-12 04:53:00
Кишертский МО,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-03-12 09:00:00
Лысьвенский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2015-03-12 10:00:00
Пермский ГО ,Аварии на электроэнергетических системах ,2015-03-13 21:20:00
ГО город Березники ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-03-14 13:45:00
Гайнский МО,Аварии на электроэнергетических системах ,2015-03-14 14:45:00
Гайнский МО,Аварии на электроэнергетических системах ,2015-03-14 15:20:00
Чайковский ГО ,Аварии на электроэнергетических системах ,2015-03-15 04:01:00
Чердынский ГО,Аварии на электроэнергетических системах ,2015-03-15 14:20:00
Гайнский МО,Аварии на электроэнергетических системах ,2015-03-15 14:40:00
Оханский ГО ,Аварии на электроэнергетических системах ,2015-03-15 17:00:00
Кудымкарский МО ,Аварии на электроэнергетических системах ,2015-03-15 21:00:00
Красновишерский ГО ,Аварии на электроэнергетических системах ,2015-03-15 21:15:00
Горнозаводский ГО ,Аварии на электроэнергетических системах ,2015-03-15 21:40:00
Карагайский МО ,Аварии на электроэнергетических системах ,2015-03-15 23:50:00
Нытвенский ГО ,Аварии на электроэнергетических системах ,2015-03-16 06:20:00
Сивинский МО,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-03-16 08:15:00
Юсьвинский МО ,Аварии на электроэнергетических системах ,2015-03-16 10:00:00
Кунгурский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-03-16 10:20:00
Чусовской ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-03-16 10:35:00
Добрянский ГО ,Пожар с гибелью 2-х и более человек ,2015-03-17 14:24:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2015-03-18 07:10:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-03-18 07:45:00
Чердынский ГО,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-03-18 08:20:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-03-18 10:00:00
Березовский МО ,Аварии на электроэнергетических системах ,2015-03-18 10:30:00
Пермский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-03-18 21:40:00
ГО город Березники ,Аварии на электроэнергетических системах ,2015-03-20 10:10:00
Красновишерский ГО ,Аварии на электроэнергетических системах ,2015-03-20 18:20:00
Пермский ГО ,Аварии на электроэнергетических системах ,2015-03-22 14:01:00
