Район,Тип,Дата и время  пожара 
Карагайский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-12-16 20:18:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-12-16 22:35:00
ГО город Березники ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-12-17 15:00:00
Пермский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-12-21 09:00:00
Кишертский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-12-21 10:50:00
Уинский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-12-25 11:10:00
Кишертский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-12-25 14:30:00
Суксунский ГО ,"Зажор, затор, дождевой паводок ",2020-12-25 16:30:00
Нытвенский ГО ,"Зажор, затор, дождевой паводок ",2020-12-25 17:05:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-12-28 02:20:00
Чусовской ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-12-29 11:15:00
Кунгурский МО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2020-12-29 17:10:00
Березники ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-12-31 11:45:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2021-01-07 15:00:00
Березовский МО ,Аварии на электроэнергетических системах ,2021-01-10 15:10:00
Губахинский МО ,Аварии на электроэнергетических системах ,2021-01-10 16:10:00
Чусовской ГО ,Аварии на электроэнергетических системах ,2021-01-10 21:35:00
Верещагинский ГО ,Аварии на электроэнергетических системах ,2021-01-10 22:51:00
ЗАТО Звездный ,Массовая гибель рыб ,2021-01-11 10:18:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2021-01-11 15:10:00
Кунгурский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2021-01-13 20:20:00
Горнозаводский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2021-01-14 07:57:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2021-01-18 09:49:00
Лысьвенский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2021-01-18 10:45:00
Пермский ГО ,"Пожары на социально-значимых объектах (образования, культуры, здравоохранения и др.) ",2021-01-21 01:10:00
ГО город Кизел ,Аварии на коммунальных системах жизнеобеспечения ХВС,2021-01-22 07:00:00
Суксунский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2021-01-22 08:50:00
Красновишерский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2021-01-23 00:40:00
ГО город Кизел ,Аварии на коммунальных системах жизнеобеспечения ХВС,2021-01-24 00:00:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2021-01-26 13:40:00
Кунгурский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2021-01-26 16:50:00
